sample	group	gene_column	path
VUHD65	Normal	1	./scNSCLC_matrices
VUHD67	Normal	1	./scNSCLC_matrices
VUHD68	Normal	1	./scNSCLC_matrices
VUHD70	Normal	1	./scNSCLC_matrices
NSCLC_1	NSCLC	2	./scNSCLC_matrices
NSCLC_2	NSCLC	2	./scNSCLC_matrices
NSCLC_3	NSCLC	2	./scNSCLC_matrices
NSCLC_4	NSCLC	2	./scNSCLC_matrices
NSCLC_5	NSCLC	2	./scNSCLC_matrices
NSCLC_6	NSCLC	2	./scNSCLC_matrices
NSCLC_7	NSCLC	2	./scNSCLC_matrices
NSCLC_8	NSCLC	2	./scNSCLC_matrices
NSCLC_9	NSCLC	2	./scNSCLC_matrices
NSCLC_10	NSCLC	2	./scNSCLC_matrices
NSCLC_11	NSCLC	2	./scNSCLC_matrices
